date,open,close,high,low,volume,amount,amplitude,pct,change,turnover
2019-10-18,102.143,102.172,102.173,102.142,740907,7568388096.0,0.03,0.04,0.043,6.65
2019-10-21,102.163,102.166,102.172,102.159,854854,8733703680.0,0.01,-0.01,-0.006,7.67
2019-10-22,102.166,102.166,102.171,102.162,589750,6025226496.0,0.01,0.00,0.000,5.29
2019-10-23,102.17,102.161,102.17,102.159,600686,6136990720.0,0.01,0.00,-0.005,5.39
2019-10-24,102.167,102.169,102.175,102.166,613566,6268864512.0,0.01,0.01,0.008,5.51
2019-10-25,102.187,102.176,102.189,102.175,554634,5667545856.0,0.01,0.01,0.007,4.98
2019-10-28,102.116,102.181,102.187,102.116,683232,6981224448.0,0.07,0.00,0.005,6.13
2019-10-29,102.19,102.197,102.199,102.184,692930,7081225216.0,0.01,0.02,0.016,6.22
2019-10-30,102.204,102.21,102.213,102.202,526047,5376663808.0,0.01,0.01,0.013,4.72
2019-10-31,102.215,102.221,102.224,102.215,672084,6869918976.0,0.01,0.01,0.011,6.03
2019-11-01,102.236,102.229,102.239,102.226,557015,5694553344.0,0.01,0.01,0.008,5.00
2019-11-04,102.238,102.235,102.239,102.23,619607,6334530048.0,0.01,0.01,0.006,5.56
2019-11-05,102.244,102.233,102.244,102.225,785583,8031438080.0,0.02,0.00,-0.002,7.05
2019-11-06,102.241,102.25,102.251,102.237,710837,7267958272.0,0.01,0.02,0.017,6.38
2019-11-07,102.258,102.258,102.259,102.253,681386,6967555584.0,0.01,0.01,0.008,6.12
2019-11-08,102.268,102.285,102.287,102.265,757654,7749062912.0,0.02,0.03,0.027,6.80
2019-11-11,102.29,102.305,102.313,102.289,693030,7089627648.0,0.02,0.02,0.020,6.22
2019-11-12,102.309,102.308,102.312,102.298,635147,6497897472.0,0.01,0.00,0.003,5.70
2019-11-13,102.31,102.305,102.31,102.299,601731,6155995904.0,0.01,0.00,-0.003,5.40
